MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
352115518589,352113518589,352.115518589,352.113518589,-0.021,0.091,0.995,0.0,0.0,-0.671,0.0014679768298116727,5.264,1.185,-159.916
352125546548,352123546548,352.125546548,352.123546548,-0.021,0.091,0.995,0.0,0.0,-0.671,0.0012977763503118993,5.264,1.185,-159.923
352135770213,352133770213,352.135770213,352.133770213,-0.021,0.091,0.995,0.0,0.0,-0.671,0.0009799895437311301,5.264,1.185,-159.93
352145834630,352143834630,352.14583463,352.14383463,-0.021,0.091,0.995,0.0,0.0,-0.671,0.000566622574704976,5.264,1.185,-159.937
352155884464,352153884464,352.155884464,352.153884464,-0.021,0.091,0.995,0.0,0.0,-0.671,8.013523827670852e-05,5.264,1.185,-159.944
352165912132,352163912132,352.165912132,352.163912132,-0.021,0.091,0.995,0.0,0.0,-0.671,-0.00045963534660148434,5.264,1.186,-159.951
352176122381,352174122381,352.176122381,352.174122381,-0.021,0.091,0.995,0.0,0.0,-0.671,-0.0010469104108319183,5.264,1.186,-159.958
352186171340,352184171340,352.18617134,352.18417134,-0.021,0.091,0.995,0.0,0.0,0.0,0.00020567272626094473,5.264,1.186,-159.965
352196255007,352194255007,352.196255007,352.194255007,-0.021,0.091,0.995,0.0,0.0,-0.671,0.0009246253351397736,5.264,1.186,-159.973
352206425589,352204425589,352.206425589,352.204425589,-0.021,0.09,0.995,0.0,0.0,-0.671,0.0012601755191892924,5.263,1.186,-159.98
352216579255,352214579255,352.216579255,352.214579255,-0.021,0.09,0.995,0.0,0.0,-0.671,0.001312337214668845,5.263,1.186,-159.987
352226535466,352224535466,352.226535466,352.224535466,-0.021,0.09,0.995,0.0,0.0,-0.671,0.0011636044043004039,5.262,1.187,-159.994
352236752131,352234752131,352.236752131,352.234752131,-0.021,0.09,0.995,0.0,0.0,-0.671,0.0008619077123478832,5.261,1.187,-160.001
352246856798,352244856798,352.246856798,352.244856798,-0.021,0.09,0.995,0.0,0.0,-0.671,0.0004598116520463855,5.261,1.187,-160.008
352256831674,352254831674,352.256831674,352.254831674,-0.021,0.09,0.995,0.0,0.0,-0.671,-1.7961688017558476e-05,5.26,1.187,-160.015
352267049506,352265049506,352.267049506,352.265049506,-0.021,0.09,0.995,0.0,0.0,-0.671,-0.0005616388747437697,5.26,1.187,-160.022
352277133173,352275133173,352.277133173,352.275133173,-0.021,0.09,0.995,0.0,0.0,-0.671,-0.00113841904013129,5.259,1.187,-160.03
352287126424,352285126424,352.287126424,352.285126424,-0.021,0.09,0.995,0.0,0.0,0.0,9.80377136030219e-05,5.258,1.187,-160.037
352297348923,352295348923,352.297348923,352.295348923,-0.021,0.09,0.995,0.0,0.0,-0.671,0.000817644939144708,5.258,1.187,-160.044
352307414507,352305414507,352.307414507,352.305414507,-0.021,0.09,0.995,0.0,0.0,-0.671,0.0011439649978612443,5.257,1.187,-160.051
352317448008,352315448008,352.317448008,352.315448008,-0.021,0.09,0.995,0.0,0.0,-0.671,0.0011937086174996139,5.257,1.187,-160.059
